pressure_ratio,TIT_K,feasible,fuel_kg_min,air_kg_s,hole_radius_scale,hole_area_mm2,nozzle_radius_mm
1.038,617.8309882436563,False,5.351944043415467,8.643818087372404,inf,inf,199.66885606753294
1.038,624.6221010852948,False,4.822091418567391,7.646061372715757,inf,inf,188.13234851401054
1.038,631.4132139269336,False,4.405052225107308,6.859668736199461,inf,inf,178.51782907536494
1.038,638.2043267685722,False,4.068380336738016,6.223860560131808,inf,inf,170.3505780961776
1.038,644.9954396102108,False,3.790982477483267,5.699123649918112,inf,inf,163.3049949303506
1.038,651.7865524518495,False,3.558552226739515,5.258658117223922,inf,inf,157.1493539630303
1.038,658.5776652934882,False,3.361043634554547,4.8836449029008255,inf,inf,151.71367123710138
1.038,665.3687781351268,False,3.1911951658768447,4.5604807977478385,inf,inf,146.8700628404221
1.038,672.1598909767654,False,3.0436275403874706,4.2790884963199085,inf,inf,142.5202347820837
1.038,678.951003818404,False,2.9142709889754,4.031843720819352,inf,inf,138.5872338593219
1.038,685.7421166600427,False,2.7999896459184024,3.812871623700708,inf,inf,135.00984447172365
1.038,692.5332295016814,False,2.6983282095401817,3.6175722261578973,inf,inf,131.73868374866132
1.038,699.32434234332,False,2.6073368264217285,3.442292386636616,inf,inf,128.7334185013152
1.038,706.1154551849586,False,2.525447399735334,3.2840940981254403,inf,inf,125.96074208722433
1.038,712.9065680265974,False,2.4513845258133857,3.140587651818623,inf,inf,123.39287761500536
1.038,719.6976808682359,False,2.384100253043942,3.00980942529964,inf,inf,121.00645300659546
1.038,726.4887937098746,False,2.322725546474893,2.8901309642469672,inf,inf,118.7816434851255
1.038,733.2799065515132,False,2.266533671773758,2.780190391764278,inf,inf,116.70150949115276
1.038,740.0710193931518,False,2.2149122178076466,2.6788399997914643,inf,inf,114.75147950253111
1.038,746.8621322347906,False,2.167341470067354,2.5851057370855672,inf,inf,112.91894172600055
1.038,753.6532450764291,False,2.12337751434832,2.4981555580502897,inf,inf,111.19291858397743
1.038,760.4443579180678,False,2.082638906086982,2.4172744508582666,inf,inf,109.56380486893855
1.038,767.2354707597065,False,2.044796057308943,2.3418445562904124,inf,inf,108.02315536049731
1.038,774.026583601345,False,2.0095627160791896,2.271329206321957,inf,inf,106.56351123484556
1.038,780.8176964429838,False,1.9766890724454655,2.2052600095166635,inf,inf,105.17825716618545
1.038,787.6088092846223,False,1.9459561398184084,2.143226325620632,inf,inf,103.86150291023631
1.038,794.399922126261,False,1.91717114473523,2.0848666291052513,inf,inf,102.60798456540995
1.038,801.1910349678997,False,1.8901637200024415,2.0298613776391163,inf,inf,101.41298176292477
